Feature,Importance
Q18_1,1.2599
Q18_2,4.9317
Q18_3,2.5593
Q18_4,3.1009
Q18_5,9.4947
Q19_1,-2.8390
Q19_2,1.7237
Q19_3,0.6829
Q19_4,0.7901
Q19_5,-2.5869
Q19_6,5.0362
Q19_7,-1.8793
Q19_8,3.5208
Q19_9,2.3424
Q19_10,-1.4334
