Residual,Absolute_Error
8.0100,8.0100
6.8200,6.8200
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
8.7500,8.7500
19.1440,19.1440
0.0000,0.0000
0.0000,0.0000
2.2200,2.2200
0.0000,0.0000
14.1042,14.1042
-21.3688,21.3688
1.7505,1.7505
1.7505,1.7505
-0.2262,0.2262
-6.4630,6.4630
14.2004,14.2004
0.0700,0.0700
0.0000,0.0000
-34.2417,34.2417
1.7738,1.7738
0.0000,0.0000
-0.3500,0.3500
-28.8988,28.8988
1.9300,1.9300
-27.5233,27.5233
0.0000,0.0000
-0.2262,0.2262
-9.1425,9.1425
-2.4300,2.4300
-1.3400,1.3400
1.7505,1.7505
-10.1355,10.1355
0.0700,0.0700
-1.1287,1.1287
0.0000,0.0000
-9.1500,9.1500
7.1100,7.1100
-7.2262,7.2262
-33.7998,33.7998
1.5761,1.5761
13.7500,13.7500
0.0000,0.0000
0.0000,0.0000
2.0400,2.0400
0.0000,0.0000
0.1400,0.1400
6.0100,6.0100
25.5100,25.5100
23.0740,23.0740
1.5761,1.5761
-7.4900,7.4900
0.0000,0.0000
2.5441,2.5441
6.9413,6.9413
2.7738,2.7738
0.0000,0.0000
17.5213,17.5213
-11.9200,11.9200
-6.0829,6.0829
0.0000,0.0000
0.0000,0.0000
0.0000,0.0000
18.7162,18.7162
-8.8800,8.8800
-0.8900,0.8900
1.7505,1.7505
-8.5900,8.5900
0.0700,0.0700
1.9800,1.9800
-0.0200,0.0200
15.4500,15.4500
0.0000,0.0000
1.3833,1.3833
-6.8200,6.8200
-6.5433,6.5433
1.7505,1.7505
