Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10
-1.2703,-2.8327,-0.9112,-1.5285,-6.4088,0.0000,-0.4870,-0.3867,-0.0317,0.3160,3.2078,1.1725,0.3130,0.3058,-0.3196
-0.3323,0.1372,0.8089,0.8789,7.1150,0.1842,-2.1754,0.0000,0.2824,-0.2282,1.0865,-1.0952,-0.2286,-0.2225,-0.3320
0.5485,-0.6329,0.1817,0.5703,3.8963,-1.0897,-0.0858,-0.4569,0.2901,0.4845,-0.9731,1.4382,0.3874,0.7670,-0.1107
-1.7304,-0.0427,0.3542,1.2963,8.3297,1.0036,-1.8526,-0.6259,0.1058,-0.4286,-0.5639,1.3551,1.0026,-0.0832,-1.3315
5.6166,5.0929,0.9295,4.3846,14.6037,2.0572,-1.6637,-0.8601,-0.8920,0.0673,-1.4333,-1.0148,-0.4856,0.2745,-0.2642
-0.7292,0.9810,0.4535,1.0420,-5.5181,0.7819,-0.6861,-0.0450,0.8239,-0.7286,5.6190,-1.1548,0.0633,-0.3117,-0.3523
0.2830,-0.4899,1.1541,0.9874,1.6004,1.0701,-1.8697,-0.2014,0.4371,0.4302,0.2963,-0.2940,0.0000,-0.0505,-0.3644
-0.3412,-0.4314,0.7199,-0.2465,2.5484,1.6492,-2.0889,0.1279,-0.1153,-0.0705,0.9115,-0.8486,0.4875,-0.1242,0.8109
-0.0979,-0.4434,0.6094,-1.9567,2.2271,-0.1992,0.2698,-0.1508,0.3173,-1.0829,1.6800,0.0000,0.1355,0.0000,-0.3594
-0.3198,-1.7556,0.7479,-0.5844,2.8139,1.6475,-2.7120,0.1875,-0.7839,-1.0218,0.3836,-1.1210,-0.5182,-0.3465,-0.6285
0.3275,-0.5790,0.5311,0.8499,1.4655,-1.4251,-2.0401,0.0965,0.2142,0.9815,0.4617,1.5608,0.8765,-0.2234,-0.2487
-0.8893,-1.1160,0.7876,-0.6228,-8.6170,-0.2825,-0.5298,0.1882,1.3370,0.1354,-2.1406,1.7086,0.2211,0.6668,1.1321
-1.0702,-0.1431,-0.1504,-1.2322,-10.4843,-0.7104,0.4629,0.0000,0.7408,-0.2471,-4.8892,-0.3719,-0.0378,-0.1367,0.7484
-0.3087,-0.6494,0.9285,1.0202,2.0013,1.4023,-2.8398,0.4082,-1.0254,-2.1881,1.8659,-1.1502,-0.1084,0.0000,-0.4416
5.6421,5.0963,0.8835,4.4247,14.5599,2.0850,-1.5983,-0.8955,-0.8225,0.1065,-1.5244,-1.0469,-0.4443,0.2150,-0.2686
0.1731,-0.6617,0.5447,1.0471,1.9782,1.1488,-1.9840,0.5799,0.3335,-1.3999,0.4824,-0.1601,-0.2431,-0.3433,-0.0168
-0.5386,-1.1601,0.3796,-1.4057,1.2685,-2.6105,-2.1646,-0.2323,0.1035,-1.1550,-0.6718,-0.5495,-0.2696,-0.2246,-0.7807
0.6295,-1.1114,-1.6270,0.5493,3.4000,-0.6884,-0.2016,0.0639,0.6149,1.1966,-0.5984,1.1486,0.3898,0.7636,-0.0848
-2.3756,-1.5334,0.4206,0.0000,4.3184,-1.2221,-0.3418,-0.1277,-0.0669,0.4297,-0.6709,-0.0290,0.3679,0.1966,-0.3184
0.5847,-0.6237,0.1386,0.5765,3.8966,-1.0985,-0.0784,-0.4675,0.3001,0.4974,-0.9752,1.4413,0.4048,0.7201,-0.1019
-0.3240,-0.4869,0.7610,-0.2292,2.5622,1.6191,-2.0791,0.1831,-0.1041,-0.0961,0.8903,-0.9016,0.4951,-0.0817,0.7806
-1.7545,-1.0990,0.5538,0.7427,3.0434,0.1826,-2.2211,0.0655,0.2851,-0.7364,0.4254,-0.9742,-0.1007,-0.4162,0.4712
-0.8745,-0.4537,0.6667,-0.5756,1.8413,1.0748,-2.2754,-0.0200,-0.3401,-1.3880,0.5852,-0.5682,-0.2925,-0.2139,-0.2574
