Residual,Absolute_Error
19.8097,19.8097
17.9544,17.9544
7.7089,7.7089
-12.7059,12.7059
-19.2239,19.2239
29.8382,29.8382
22.0923,22.0923
-1.6976,1.6976
-19.2239,19.2239
-3.7616,3.7616
-8.9008,8.9008
-2.1912,2.1912
-12.1412,12.1412
9.2739,9.2739
9.2739,9.2739
-3.8393,3.8393
-5.2364,5.2364
11.7650,11.7650
6.1342,6.1342
7.7089,7.7089
-28.4608,28.4608
-1.8393,1.8393
-1.6976,1.6976
-0.2559,0.2559
-39.5505,39.5505
10.7595,10.7595
-20.8689,20.8689
-1.3183,1.3183
-3.8393,3.8393
-12.0221,12.0221
6.4849,6.4849
1.3016,1.3016
9.2739,9.2739
-0.8269,0.8269
6.1342,6.1342
-0.7386,0.7386
-1.6976,1.6976
1.4926,1.4926
-2.4037,2.4037
-10.8393,10.8393
-37.7202,37.7202
7.8756,7.8756
25.9380,25.9380
-1.6976,1.6976
8.1181,8.1181
2.9169,2.9169
-2.6816,2.6816
-0.0103,0.0103
14.1315,14.1315
16.7005,16.7005
25.2520,25.2520
7.8756,7.8756
-11.2270,11.2270
-10.8171,10.8171
7.0702,7.0702
0.5216,0.5216
-0.8393,0.8393
8.1181,8.1181
20.8639,20.8639
-12.8235,12.8235
2.2699,2.2699
-11.3334,11.3334
7.7089,7.7089
-8.9008,8.9008
26.2836,26.2836
8.3680,8.3680
10.6254,10.6254
9.2739,9.2739
7.1557,7.1557
6.1342,6.1342
-5.7007,5.7007
33.9068,33.9068
19.1471,19.1471
7.7089,7.7089
-11.5972,11.5972
-4.8529,4.8529
-16.4057,16.4057
9.2739,9.2739
