Feature,Importance
Q18_1,1.2382
Q18_2,4.9490
Q18_3,2.5385
Q18_4,3.1322
Q18_5,9.4978
Q19_1,-2.8637
Q19_2,1.7136
Q19_3,0.7131
Q19_4,0.8507
Q19_5,-2.6644
Q19_6,5.1289
Q19_7,-2.0022
Q19_8,3.5431
Q19_9,2.4235
Q19_10,-1.4660
