Residual,Absolute_Error
3.4436,3.4436
6.9541,6.9541
0.4886,0.4886
-2.0096,2.0096
0.1219,0.1219
19.4555,19.4555
20.8591,20.8591
0.2742,0.2742
0.1219,0.1219
-0.2614,0.2614
-0.8202,0.8202
4.6882,4.6882
-11.5833,11.5833
1.8142,1.8142
1.8142,1.8142
0.2669,0.2669
-6.5536,6.5536
12.4626,12.4626
-0.0727,0.0727
0.4886,0.4886
-35.9918,35.9918
2.2669,2.2669
0.2742,0.2742
7.2415,7.2415
-25.9725,25.9725
5.1527,5.1527
-30.0593,30.0593
-1.3951,1.3951
0.2669,0.2669
-13.6793,13.6793
-4.3523,4.3523
-0.7608,0.7608
1.8142,1.8142
2.3427,2.3427
-0.0727,0.0727
-1.8743,1.8743
0.2742,0.2742
-17.5902,17.5902
6.4572,6.4572
-6.7331,6.7331
-34.6496,34.6496
1.9585,1.9585
17.6651,17.6651
0.2742,0.2742
0.9021,0.9021
1.5882,1.5882
-0.4050,0.4050
-1.5417,1.5417
10.1045,10.1045
21.4374,21.4374
21.8457,21.8457
1.9585,1.9585
-6.8782,6.8782
-0.3818,0.3818
4.2325,4.2325
12.1057,12.1057
3.2669,3.2669
0.9021,0.9021
17.4384,17.4384
-9.4745,9.4745
-4.3680,4.3680
-0.9286,0.9286
0.4886,0.4886
-0.8202,0.8202
17.6360,17.6360
-8.5375,8.5375
-0.9295,0.9295
1.8142,1.8142
-6.3725,6.3725
-0.0727,0.0727
1.1825,1.1825
-3.2580,3.2580
15.1408,15.1408
0.4886,0.4886
-6.9536,6.9536
-8.1392,8.1392
-10.7408,10.7408
1.8142,1.8142
