Residual,Absolute_Error
-0.3842,0.3842
10.1064,10.1064
0.1002,0.1002
-0.1003,0.1003
-0.0998,0.0998
16.6882,16.6882
18.8184,18.8184
-0.0998,0.0998
-0.0998,0.0998
5.9162,5.9162
-0.1002,0.1002
3.9660,3.9660
-0.5031,0.5031
0.1001,0.1001
0.1001,0.1001
-0.0996,0.0996
-1.9954,1.9954
17.1422,17.1422
0.1002,0.1002
0.1002,0.1002
-34.5914,34.5914
1.9004,1.9004
-0.0998,0.0998
6.8609,6.8609
-27.7634,27.7634
-4.8860,4.8860
-31.5023,31.5023
0.0662,0.0662
-0.0996,0.0996
-4.7556,4.7556
-0.1001,0.1001
-5.5254,5.5254
0.1001,0.1001
-7.0909,7.0909
0.1002,0.1002
-4.0159,4.0159
-0.0998,0.0998
-6.8098,6.8098
8.2718,8.2718
-7.0996,7.0996
-35.0060,35.0060
0.0999,0.0999
17.9674,17.9674
-0.0998,0.0998
-0.1001,0.1001
-10.3206,10.3206
-0.1002,0.1002
-0.1001,0.1001
6.2437,6.2437
17.8892,17.8892
24.6073,24.6073
0.0999,0.0999
-10.3119,10.3119
-0.1001,0.1001
0.0997,0.0997
11.8974,11.8974
2.9004,2.9004
-0.1001,0.1001
11.4138,11.4138
-7.6764,7.6764
-8.5964,8.5964
-0.1003,0.1003
0.1002,0.1002
-0.1002,0.1002
36.4691,36.4691
16.0402,16.0402
1.0461,1.0461
0.1001,0.1001
-7.2366,7.2366
0.1002,0.1002
-0.1004,0.1004
-0.1001,0.1001
12.6459,12.6459
0.1002,0.1002
-6.6548,6.6548
-6.4119,6.4119
-6.3463,6.3463
0.1001,0.1001
