Feature,Importance
Q18_1,2.2032
Q18_2,4.3495
Q18_3,2.9892
Q18_4,3.2654
Q18_5,8.2267
Q19_1,-2.2235
Q19_2,1.7613
Q19_3,0.2497
Q19_4,0.3498
Q19_5,-1.6818
Q19_6,3.6053
Q19_7,-0.5991
Q19_8,3.1836
Q19_9,1.5323
Q19_10,-1.1532
