Feature,Importance
Q18_1,1.2783
Q18_2,4.9248
Q18_3,2.5579
Q18_4,3.1396
Q18_5,9.4465
Q19_1,-2.8442
Q19_2,1.7216
Q19_3,0.6953
Q19_4,0.8369
Q19_5,-2.6320
Q19_6,5.0714
Q19_7,-1.9515
Q19_8,3.5327
Q19_9,2.3942
Q19_10,-1.4597
