Residual,Absolute_Error
21.8715,21.8715
17.9824,17.9824
7.8254,7.8254
-12.3307,12.3307
-16.5515,16.5515
31.7700,31.7700
22.1826,22.1826
-1.1817,1.1817
-16.5515,16.5515
-4.8508,4.8508
-8.0129,8.0129
-3.1790,3.1790
-14.4472,14.4472
8.1159,8.1159
8.1159,8.1159
-4.3354,4.3354
-3.1344,3.1344
13.1911,13.1911
6.0445,6.0445
7.8254,7.8254
-27.9463,27.9463
-2.3354,2.3354
-1.1817,1.1817
-0.3082,0.3082
-41.2772,41.2772
10.0747,10.0747
-19.7319,19.7319
-0.2774,0.2774
-4.3354,4.3354
-11.7128,11.7128
5.2237,5.2237
1.9053,1.9053
8.1159,8.1159
2.6196,2.6196
6.0445,6.0445
-1.5981,1.5981
-1.1817,1.1817
1.5503,1.5503
-2.6231,2.6231
-11.3354,11.3354
-43.2354,43.2354
7.8133,7.8133
27.3106,27.3106
-1.1817,1.1817
7.2937,7.2937
1.4543,1.4543
-3.8310,3.8310
1.5038,1.5038
13.9321,13.9321
16.6003,16.6003
27.1649,27.1649
7.8133,7.8133
-10.4898,10.4898
-9.1731,9.1731
6.7749,6.7749
-1.2723,1.2723
-1.3354,1.3354
7.2937,7.2937
18.9282,18.9282
-14.6746,14.6746
4.4288,4.4288
-9.6983,9.6983
7.8254,7.8254
-8.0129,8.0129
28.9686,28.9686
9.8379,9.8379
11.8591,11.8591
8.1159,8.1159
8.8105,8.8105
6.0445,6.0445
-7.1022,7.1022
34.1085,34.1085
20.9923,20.9923
7.8254,7.8254
-12.9428,12.9428
-5.9583,5.9583
-18.3884,18.3884
8.1159,8.1159
