日期,Close,Open,High,Low,Volue,涨跌幅,涨跌情况（1为涨、0为跌）
2023/6/4,164.59,167.28,168.43,163.02,55.54,-1.97%,0
2023/6/11,184.08,164.02,185.6,162.94,112.26,11.84%,1
2023/6/18,171.4,183,183.71,171.2,56.05,-6.89%,0
2023/6/25,163.57,169.5,169.89,162.2,76.05,-4.57%,0
2023/7/2,163.66,163.27,168.5,162.85,59.52,0.06%,1
2023/7/9,171.99,164.98,174.33,163.88,76,5.09%,1
2023/7/16,171.27,170.5,174,166.81,57.5,-0.42%,0
2023/7/23,181.18,169.13,182.16,167.9,125.41,5.79%,1
2023/7/30,179.28,186.6,188.57,175.13,96.25,-1.05%,0
2023/8/6,172.36,178.3,179.28,172.27,61.3,-3.86%,0
2023/8/13,163.53,170,170.33,163.5,94.18,-5.12%,0
2023/8/20,161.55,162.18,164.36,159.21,76.05,-1.21%,0
2023/8/27,159.74,168.01,168.99,155.33,146.29,-1.12%,0
2023/9/3,161.92,161.6,168.23,160.5,100.98,1.36%,1
2023/9/10,159.71,161,165.39,159.3,68.93,-1.36%,0
2023/9/17,159.92,159,163.01,156.7,64.76,0.13%,1
2023/9/24,156.1,159.76,159.88,155.68,48.71,-2.39%,
2023/10/8,153.63,156.09,156.58,151.8,66.08,-1.58%,
2023/10/15,143.7,153.08,153.4,142.57,71.12,-6.46%,
2023/10/22,152.99,143.64,153.55,141.7,85.86,6.46%,
2023/10/29,159.67,155.95,167.28,155,119.16,4.37%,
2023/11/5,156.9,160.67,160.87,156.5,55.29,-1.73%,
2023/11/12,155,156.89,158.14,154.06,49.52,-1.21%,
2023/11/19,153.23,154.99,156.64,151.85,55.64,-1.14%,
2023/11/26,147.21,152.79,152.8,146.01,65.2,-3.93%,
2023/12/3,142.93,146.49,147.67,141.5,69.79,-2.91%,
2023/12/10,133.7,139.6,140,132.65,120.03,-6.46%,
2023/12/17,133.42,132.05,134.8,131.48,70.64,-0.21%,
2023/12/24,140.31,133.32,141.64,132.95,80.73,5.16%,
2023/12/31,131.24,140.3,140.3,130.78,71.45,-6.46%,
2024/1/7,128.75,131.01,131.14,126.01,82.6,-1.90%,
2024/1/14,128.89,128,129.51,123.19,87.88,0.11%,
2024/1/21,131,128.4,131.99,125.26,100.88,1.64%,
2024/1/28,123.82,131.09,133.67,122.56,87.08,-5.48%,
2024/2/4,133.59,123.82,136.12,122.91,116.63,7.89%,
2024/2/18,141.71,138.9,143.38,132.84,133.98,6.08%,
2024/2/25,142.59,141.5,143.78,138.05,82.22,0.62%,
2024/3/3,138.42,141.51,142.2,136.66,72.55,-2.92%,
2024/3/10,152.49,138.35,154.78,138.02,128.46,10.16%,
2024/3/17,153.43,152.4,158.97,150.71,102.83,0.62%,
2024/3/24,153.51,152.51,155.38,150,69.87,0.05%,
2024/3/31,154.6,154.5,158.56,153.3,38.96,0.71%,
2024/4/7,140.49,152,152,140.1,86.61,-9.13%,
2024/4/14,142.9,140.6,147.98,140.06,80.67,1.72%,
2024/4/21,152.25,142.9,152.7,142.9,73.46,6.54%,
2024/4/28,150.43,151,156.56,150.01,43.07,-1.20%,
2024/5/5,154.43,153.44,158.33,152.8,77.92,2.66%,
2024/5/12,156.41,152.8,156.43,150.03,67.57,1.28%,
2024/5/19,151.15,156.4,159.8,151,59.22,-3.36%,
2024/5/26,146.7,151.14,152.3,145.91,58.9,-2.94%,
2024/6/2,142.34,146.89,148.1,141.9,64.11,-2.97%,
2024/6/9,135.68,141.4,141.4,132.09,89.2,-4.68%,
2024/6/16,130.2,134.4,137.34,128.8,92.64,-4.04%,
2024/6/23,128.04,126.02,133.29,125.6,79.81,-1.66%,
2024/6/30,128.95,128.2,132.7,126,76.6,0.71%,
2024/7/7,127.4,128.98,131.5,125.18,100.46,-1.20%,
2024/7/14,133.42,127,133.49,125.8,87.94,4.73%,
2024/7/21,126.2,133.4,133.95,125.1,73,-5.41%,
2024/7/28,123.7,126,128.18,121.48,88.14,-1.98%,
2024/8/4,128.08,123.7,130,123.6,88.66,3.54%,
2024/8/11,125.01,127.5,128.49,123.58,50.15,-2.40%,
2024/8/18,121.11,125,127,119.96,62,-3.12%,
2024/8/25,123.03,120.98,124.66,112.92,124.6,1.59%,
2024/9/1,117.53,122,122.31,117.5,55.07,-4.47%,
2024/9/8,109.2,116.9,118.26,109.2,77.56,-7.09%,
2024/9/15,110.28,108.25,112.86,106.33,69.25,0.99%,
2024/9/22,147.74,110.96,147.74,110.43,262.35,33.97%,
