日期,Close,Open,High,Low,Volume,涨跌幅,涨跌情况（1为涨、0为跌）
2024/5/14,151.34,151.1,151.85,150.03,11.35,0.16%,1
2024/5/15,151.37,151.33,151.83,150.5,7.84,0.02%,1
2024/5/16,154.05,151.7,155.08,150.71,14.94,1.77%,1
2024/5/17,156.41,154,156.43,153.21,16.18,1.53%,1
2024/5/20,157.3,156.4,159.8,156.4,19.37,0.57%,1
2024/5/21,156.54,156.8,157.18,155.09,8.8,-0.48%,0
2024/5/22,155.12,156.01,156.41,154.27,10.85,-0.91%,0
2024/5/23,153.6,155,155.97,153.32,8.99,-0.98%,0
2024/5/24,151.15,152.86,153.13,151,11.2,-1.60%,0
2024/5/27,151.58,151.14,152.3,150.58,10.16,0.28%,1
2024/5/28,150.03,151.6,151.94,150,10.39,-1.02%,0
2024/5/29,149.21,150.05,150.99,148.86,9.1,-0.55%,0
2024/5/30,146.26,148.95,148.95,145.91,16.11,-1.98%,0
2024/5/31,146.7,146.9,147.99,146.6,13.14,0.30%,1
2024/6/3,145.98,146.89,147.25,144.65,14.09,-0.49%,0
2024/6/4,147.78,145.98,148.1,145.5,10.3,1.23%,1
2024/6/5,145.76,147.72,148,145.65,11.11,-1.37%,0
