Residual,Absolute_Error
3.4312,3.4312
5.9543,5.9543
-6.5192,6.5192
-31.5688,31.5688
-8.7982,8.7982
8.8234,8.8234
1.2864,1.2864
3.2978,3.2978
-8.7982,8.7982
6.4312,6.4312
-14.7136,14.7136
26.1972,26.1972
31.4894,31.4894
25.2864,25.2864
25.2864,25.2864
9.4312,9.4312
-8.9735,8.9735
1.2937,1.2937
7.4312,7.4312
-6.5192,6.5192
-1.4240,1.4240
11.4312,11.4312
3.2978,3.2978
-1.0274,1.0274
-29.9962,29.9962
-25.4140,25.4140
-1.9009,1.9009
-1.5688,1.5688
9.4312,9.4312
-12.0919,12.0919
-9.0554,9.0554
0.4796,0.4796
25.2864,25.2864
-31.6392,31.6392
7.4312,7.4312
-9.6316,9.6316
3.2978,3.2978
-9.8097,9.8097
12.2372,12.2372
2.4312,2.4312
-13.8708,13.8708
6.5626,6.5626
23.6252,23.6252
3.2978,3.2978
-11.4894,11.4894
-12.2717,12.2717
0.4312,0.4312
-17.7136,17.7136
19.4316,19.4316
14.4211,14.4211
3.0410,3.0410
6.5626,6.5626
-1.5688,1.5688
-5.3421,5.3421
9.2507,9.2507
22.3260,22.3260
12.4312,12.4312
-11.4894,11.4894
22.0403,22.0403
13.7863,13.7863
-4.5688,4.5688
-21.3234,21.3234
-6.5192,6.5192
-14.7136,14.7136
18.2864,18.2864
-13.0748,13.0748
-6.5688,6.5688
25.2864,25.2864
-28.1586,28.1586
7.4312,7.4312
14.1218,14.1218
5.5760,5.5760
7.5410,7.5410
-6.5192,6.5192
-8.5688,8.5688
-2.5553,2.5553
-7.5688,7.5688
25.2864,25.2864
