Feature,Importance
Q20_1,0.0717
Q20_2,0.0238
Q20_3,0.2595
Q20_4,0.2843
Q20_5,0.0209
Q20_6,0.0365
Q20_7,0.2260
Q20_8,0.0408
Q20_9,0.0366
