Residual,Absolute_Error
4.4940,4.4940
11.4940,11.4940
-2.5060,2.5060
-30.5060,30.5060
0.0000,0.0000
21.1860,21.1860
-4.0926,4.0926
-2.8140,2.8140
0.0000,0.0000
7.4940,7.4940
-20.0926,20.0926
39.3333,39.3333
0.2500,0.2500
19.9074,19.9074
19.9074,19.9074
10.4940,10.4940
-8.5000,8.5000
21.0000,21.0000
8.4940,8.4940
-2.5060,2.5060
-25.5060,25.5060
12.4940,12.4940
-2.8140,2.8140
-4.5060,4.5060
-19.8140,19.8140
-9.5060,9.5060
-21.5060,21.5060
-0.5060,0.5060
10.4940,10.4940
-15.5060,15.5060
-9.5060,9.5060
-2.5060,2.5060
19.9074,19.9074
-31.0926,31.0926
8.4940,8.4940
5.4940,5.4940
-2.8140,2.8140
-12.5060,12.5060
18.4940,18.4940
3.4940,3.4940
-21.5060,21.5060
1.9074,1.9074
19.4940,19.4940
-2.8140,2.8140
-2.8140,2.8140
-2.8140,2.8140
1.4940,1.4940
-23.0926,23.0926
3.4940,3.4940
13.4940,13.4940
16.1860,16.1860
1.9074,1.9074
-0.5060,0.5060
-4.5060,4.5060
12.4940,12.4940
11.4940,11.4940
13.4940,13.4940
-2.8140,2.8140
10.1860,10.1860
-9.5060,9.5060
-3.5060,3.5060
-2.9286,2.9286
-2.5060,2.5060
-20.0926,20.0926
12.9074,12.9074
-31.5060,31.5060
-5.5060,5.5060
19.9074,19.9074
-13.8140,13.8140
8.4940,8.4940
8.1860,8.1860
-18.5060,18.5060
2.2500,2.2500
-2.5060,2.5060
-7.5060,7.5060
-4.5060,4.5060
-6.5060,6.5060
19.9074,19.9074
